School Number,Year,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
100048,2022,30,40,35,9,22,0,0,0,0,0,0,0
100048,2023,30,47,42,6,20,0,0,0,0,0,0,0
100048,2024,30,54,50,4,18,0,0,0,0,0,0,0
100048,2025,30,63,59,2,17,0,0,0,0,0,0,0
100048,2026,30,73,70,1,15,0,0,0,0,0,0,0
100170,2022,53,55,57,47,50,60,0,0,0,0,0,0
100170,2023,51,55,60,45,50,67,0,0,0,0,0,0
100170,2024,49,55,63,43,50,74,0,0,0,0,0,0
100170,2025,48,55,66,41,50,82,0,0,0,0,0,0
100170,2026,46,55,70,39,51,90,0,0,0,0,0,0
100438,2022,0,0,0,0,0,0,55,68,0,0,0,0
100438,2023,0,0,0,0,0,0,51,72,0,0,0,0
100438,2024,0,0,0,0,0,0,48,77,0,0,0,0
100438,2025,0,0,0,0,0,0,44,81,0,0,0,0
100438,2026,0,0,0,0,0,0,41,86,0,0,0,0
100757,2022,69,50,61,61,40,47,40,40,0,0,0,0
100757,2023,80,50,67,67,40,50,40,40,0,0,0,0
100757,2024,92,50,75,75,40,53,41,40,0,0,0,0
100757,2025,106,50,83,83,41,57,41,40,0,0,0,0
100757,2026,123,50,93,93,41,60,41,40,0,0,0,0
101112,2022,0,0,0,0,0,0,115,118,0,0,0,0
101112,2023,0,0,0,0,0,0,107,121,0,0,0,0
101112,2024,0,0,0,0,0,0,99,124,0,0,0,0
101112,2025,0,0,0,0,0,0,92,127,0,0,0,0
101112,2026,0,0,0,0,0,0,85,131,0,0,0,0
101214,2022,10,18,10,10,8,8,28,18,0,0,0,0
101214,2023,11,23,10,10,6,6,40,23,0,0,0,0
101214,2024,12,29,10,10,5,5,56,29,0,0,0,0
101214,2025,13,36,10,10,4,4,80,36,0,0,0,0
101214,2026,14,45,10,10,4,4,114,45,0,0,0,0
101478,2022,23,15,20,15,23,15,15,23,0,0,0,0
101478,2023,27,15,21,16,27,15,16,27,0,0,0,0
101478,2024,31,15,22,16,31,15,16,31,0,0,0,0
101478,2025,37,15,23,17,37,15,17,37,0,0,0,0
101478,2026,43,15,24,18,43,15,18,43,0,0,0,0
101605,2022,61,49,20,34,77,25,42,46,0,0,0,0
101605,2023,95,70,17,33,109,21,44,54,0,0,0,0
101605,2024,148,99,14,32,154,18,46,63,0,0,0,0
101605,2025,229,140,11,31,218,15,48,74,0,0,0,0
101605,2026,355,199,9,31,309,13,51,86,0,0,0,0
101737,2022,42,48,23,51,51,11,0,0,0,0,0,0
101737,2023,51,66,27,86,86,8,0,0,0,0,0,0
101737,2024,61,92,31,147,147,6,0,0,0,0,0,0
101737,2025,74,127,37,250,250,4,0,0,0,0,0,0
101737,2026,90,175,43,425,425,3,0,0,0,0,0,0
101796,2022,0,0,0,0,0,0,165,171,0,0,0,0
101796,2023,0,0,0,0,0,0,194,183,0,0,0,0
101796,2024,0,0,0,0,0,0,229,196,0,0,0,0
101796,2025,0,0,0,0,0,0,270,210,0,0,0,0
101796,2026,0,0,0,0,0,0,319,225,0,0,0,0
101869,2022,21,43,35,42,22,48,0,0,0,0,0,0
101869,2023,17,46,35,51,21,66,0,0,0,0,0,0
101869,2024,15,50,35,61,19,92,0,0,0,0,0,0
101869,2025,12,53,35,74,17,127,0,0,0,0,0,0
101869,2026,10,58,35,90,16,175,0,0,0,0,0,0
101990,2022,50,24,23,70,55,62,56,51,0,0,0,0
101990,2023,64,20,18,77,51,65,52,47,0,0,0,0
101990,2024,81,17,14,84,48,68,49,44,0,0,0,0
101990,2025,102,14,11,92,44,71,46,41,0,0,0,0
101990,2026,130,12,8,100,41,74,43,38,0,0,0,0
102016,2022,81,66,75,68,95,0,0,0,0,0,0,0
102016,2023,83,67,70,66,91,0,0,0,0,0,0,0
102016,2024,85,69,66,64,87,0,0,0,0,0,0,0
102016,2025,87,70,62,63,84,0,0,0,0,0,0,0
102016,2026,89,72,58,61,80,0,0,0,0,0,0,0
102440,2022,37,76,43,92,64,54,0,0,0,0,0,0
102440,2023,35,97,41,130,75,58,0,0,0,0,0,0
102440,2024,33,123,40,184,89,63,0,0,0,0,0,0
102440,2025,31,157,38,261,104,68,0,0,0,0,0,0
102440,2026,30,200,37,370,122,74,0,0,0,0,0,0
102580,2022,51,37,37,7,16,16,0,0,0,0,0,0
102580,2023,86,56,56,4,17,17,0,0,0,0,0,0
102580,2024,147,84,84,3,19,19,0,0,0,0,0,0
102580,2025,250,126,126,2,20,20,0,0,0,0,0,0
102580,2026,425,189,189,1,22,22,0,0,0,0,0,0
102644,2022,83,87,58,65,57,78,87,111,0,0,0,0
102644,2023,86,95,56,65,55,82,90,129,0,0,0,0
102644,2024,89,104,54,66,53,86,93,151,0,0,0,0
102644,2025,92,114,52,66,51,90,96,177,0,0,0,0
102644,2026,96,125,51,67,49,95,99,207,0,0,0,0
105503,2022,33,68,44,18,37,53,80,133,0,0,0,0
105503,2023,36,104,49,13,41,62,80,155,0,0,0,0
105503,2024,39,159,55,10,44,73,80,180,0,0,0,0
105503,2025,43,243,61,7,48,86,80,209,0,0,0,0
105503,2026,48,371,68,5,52,102,80,243,0,0,0,0
105627,2022,0,0,0,0,0,0,68,81,0,0,0,0
105627,2023,0,0,0,0,0,0,94,121,0,0,0,0
105627,2024,0,0,0,0,0,0,128,181,0,0,0,0
105627,2025,0,0,0,0,0,0,176,269,0,0,0,0
105627,2026,0,0,0,0,0,0,242,400,0,0,0,0
105678,2022,40,65,46,59,68,33,56,45,0,0,0,0
105678,2023,40,77,47,71,85,31,57,46,0,0,0,0
105678,2024,40,92,49,86,107,30,58,47,0,0,0,0
105678,2025,41,109,50,103,134,28,59,48,0,0,0,0
105678,2026,41,129,52,123,167,27,60,49,0,0,0,0
105694,2022,24,7,14,5,23,0,0,0,0,0,0,0
105694,2023,28,5,13,2,22,0,0,0,0,0,0,0
105694,2024,34,4,12,1,22,0,0,0,0,0,0,0
105694,2025,41,3,12,0,21,0,0,0,0,0,0,0
105694,2026,49,2,11,0,20,0,0,0,0,0,0,0
105767,2022,12,24,33,20,16,22,30,39,0,0,0,0
105767,2023,9,30,44,21,13,21,31,50,0,0,0,0
