Board Number,Year,Board Type,Grade 10 OSSLT Results,Progress in Grade 10 OSSLT Results ,Credit Accumulation by the end of Grade 10,Progress in Credit Accumulation by the end of Grade 10,Credit Accumulation by the end of Grade 11,Progress in Credit Accumulation by the end of Grade 11,Four Year Graduation Rate,Progress in Four Year Graduation Rate
B28010,2021-2022,Public,0.72,0.0,0.69,-0.02,0.71,-0.08,0.718,0.018
B67202,2021-2022,Roman Catholic,0.86,0.0,0.84,0.0,0.87,-0.03,0.88,0.004
B66010,2021-2022,Public,0.81,0.0,0.81,0.03,0.78,-0.01,0.81,0.066
B66001,2021-2022,Public,0.75,0.0,0.67,-0.01,0.71,-0.01,0.711,0.011
B67164,2021-2022,Roman Catholic,0.85,0.0,0.73,-0.08,0.81,-0.01,0.797,-0.038
B67008,2021-2022,Roman Catholic,0.82,0.0,0.82,0.01,0.85,0.05,0.868,0.027
B67172,2021-2022,Roman Catholic,0.84,0.0,0.8,-0.09,0.84,-0.06,0.882,0.014
B66311,2021-2022,Public,0.93,0.0,0.78,-0.01,0.84,-0.06,0.915,0.008
B67300,2021-2022,Roman Catholic,0.85,0.0,0.91,-0.04,0.92,-0.05,0.96,0.062
B67318,2021-2022,Roman Catholic,0.95,0.0,0.87,0.02,0.91,-0.02,0.938,0.021
B28118,2021-2022,Public,0.83,0.0,0.86,0.01,0.86,-0.03,0.862,0.021
B28100,2021-2022,Public,0.72,0.0,0.73,-0.04,0.82,0.06,0.814,-0.068
B66303,2021-2022,Public,0.96,0.0,0.91,-0.01,0.94,-0.01,0.919,0.029
B67326,2021-2022,Roman Catholic,0.94,0.0,0.87,-0.02,0.93,0.01,0.902,-0.026
B29130,2021-2022,Roman Catholic,0.93,0.0,0.78,-0.05,0.9,0.0,0.914,0.114
B29106,2021-2022,Roman Catholic,0.81,0.0,0.87,-0.02,0.86,-0.05,0.866,-0.035
B67334,2021-2022,Roman Catholic,0.94,0.0,0.86,-0.03,0.91,-0.03,0.938,-0.003
B29122,2021-2022,Roman Catholic,0.86,0.0,0.93,0.0,0.95,-0.04,0.947,0.057
B29114,2021-2022,Roman Catholic,0.85,0.0,0.9,0.01,0.92,-0.01,0.915,-0.036
B66150,2021-2022,Public,0.86,0.0,0.76,-0.01,0.78,-0.03,0.786,-0.02
B28002,2021-2022,Public,0.72,0.0,0.54,-0.08,0.65,0.06,0.595,0.022
B67083,2021-2022,Roman Catholic,0.86,0.0,0.86,-0.01,0.89,-0.01,0.909,0.013
B67105,2021-2022,Roman Catholic,0.87,0.0,0.83,0.01,0.83,0.04,0.899,-0.001
B66060,2021-2022,Public,0.85,0.0,0.79,0.02,0.84,0.03,0.847,0.013
B66168,2021-2022,Public,0.76,0.0,0.68,0.01,0.68,0.03,0.655,0.002
B66028,2021-2022,Public,0.79,0.0,0.74,-0.06,0.79,-0.02,0.779,-0.025
B67113,2021-2022,Roman Catholic,0.9,0.0,0.81,-0.07,0.87,-0.06,0.914,0.01
B66133,2021-2022,Public,0.92,0.0,0.89,0.0,0.9,0.01,0.89,0.021
B67121,2021-2022,Roman Catholic,0.77,0.0,0.76,0.02,0.81,0.0,0.831,0.027
B66141,2021-2022,Public,0.77,0.0,0.69,0.06,0.71,0.01,0.719,-0.017
B66222,2021-2022,Public,0.75,0.0,0.64,-0.03,0.75,0.02,0.734,0.026
B67016,2021-2022,Roman Catholic,0.87,0.0,0.88,0.0,0.9,0.01,0.865,-0.015
B29025,2021-2022,Roman Catholic,0.8,0.0,0.73,-0.12,0.76,-0.09,0.828,0.021
B66079,2021-2022,Public,0.82,0.0,0.77,0.01,0.82,0.0,0.801,-0.001
B28045,2021-2022,Public,0.71,0.0,0.6,-0.07,0.7,-0.02,0.612,-0.048
B29050,2021-2022,Roman Catholic,0.8,0.0,0.72,-0.09,0.72,-0.04,0.786,-0.014
B28061,2021-2022,Public,0.82,0.0,0.66,-0.09,0.72,-0.02,0.685,-0.001
B66036,2021-2022,Public,0.78,0.0,0.7,0.01,0.68,-0.06,0.749,0.032
B66206,2021-2022,Public,0.79,0.0,0.75,-0.05,0.74,-0.07,0.83,0.031
B67032,2021-2022,Roman Catholic,0.84,0.0,0.83,0.1,0.87,-0.02,0.89,0.031
B28037,2021-2022,Public,0.79,0.0,0.65,-0.15,0.7,-0.05,0.726,-0.008
B67156,2021-2022,Roman Catholic,0.86,0.0,0.86,-0.02,0.9,-0.01,0.909,-0.002
B29017,2021-2022,Roman Catholic,0.85,0.0,0.77,0.05,0.76,0.0,0.759,0.033
B29009,2021-2022,Roman Catholic,0.91,0.0,0.85,-0.03,0.77,0.01,0.712,-0.007
B29041,2021-2022,Roman Catholic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B67180,2021-2022,Roman Catholic,0.88,0.0,0.83,-0.01,0.89,-0.02,0.899,0.016
B66184,2021-2022,Public,0.89,0.0,0.84,-0.01,0.86,0.01,0.861,0.018
B66125,2021-2022,Public,0.85,0.0,0.8,0.0,0.83,-0.01,0.878,0.019
B67067,2021-2022,Roman Catholic,0.82,0.0,0.86,0.02,0.91,0.03,0.881,-0.021
B28029,2021-2022,Public,0.77,0.0,0.64,-0.08,0.72,-0.02,0.696,0.007
B28053,2021-2022,Public,0.7,0.0,0.61,-0.09,0.69,-0.06,0.705,-0.007
B67199,2021-2022,Roman Catholic,0.84,0.0,0.81,0.07,0.76,-0.11,0.84,0.048
B66214,2021-2022,Public,0.83,0.0,0.78,-0.03,0.78,0.0,0.782,-0.021
B66109,2021-2022,Public,0.84,0.0,0.73,-0.04,0.78,-0.02,0.803,0.019
B67091,2021-2022,Roman Catholic,0.82,0.0,0.8,-0.03,0.83,-0.01,0.869,0.008
B67040,2021-2022,Roman Catholic,0.88,0.0,0.79,-0.03,0.85,-0.01,0.829,0.03
B29033,2021-2022,Roman Catholic,0.8,0.0,0.73,-0.06,0.81,-0.06,0.809,0.024
B29076,2021-2022,Roman Catholic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B28070,2021-2022,Public,0.59,0.0,0.49,-0.14,0.58,-0.15,0.642,0.11
B66044,2021-2022,Public,0.77,0.0,0.72,-0.02,0.75,-0.01,0.743,0.059
B29068,2021-2022,Roman Catholic,0.81,0.0,0.73,-0.09,0.85,0.01,0.778,-0.001
B67059,2021-2022,Roman Catholic,0.84,0.0,0.85,-0.01,0.87,-0.01,0.877,0.029
B66052,2021-2022,Public,0.85,0.0,0.78,0.01,0.81,0.01,0.797,0.023
B66087,2021-2022,Public,0.84,0.0,0.75,-0.02,0.78,-0.03,0.818,0.007
B66192,2021-2022,Public,0.77,0.0,0.72,-0.04,0.76,-0.02,0.819,0.015
B66117,2021-2022,Public,0.88,0.0,0.82,0.0,0.83,0.0,0.824,0.029
B67148,2021-2022,Roman Catholic,0.83,0.0,0.8,-0.01,0.83,0.0,0.789,-0.01
B66176,2021-2022,Public,0.85,0.0,0.82,0.0,0.81,0.0,0.778,0.061
B67130,2021-2022,Roman Catholic,0.85,0.0,0.84,0.11,0.86,0.02,0.887,0.001
B67024,2021-2022,Roman Catholic,0.91,0.0,0.81,-0.02,0.86,0.01,0.911,0.037
B67075,2021-2022,Roman Catholic,0.9,0.0,0.91,0.01,0.94,0.0,0.954,0.002
B66095,2021-2022,Public,0.93,0.0,0.87,0.0,0.9,0.0,0.902,0.009
