School Number,Board Number,School Name,School Type,School Level,Street,Municipality,City,Province,Postal Code,Fax Number,Latitude,Longitude,Phone Number,School Website
902344,B28010,Algoma Education Connection Secondary School,Public,Secondary,550 Northern Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4J4,705-945-7173,46.53477,-84.3077,705-945-7194,http://www.adsb.on.ca
019186,B28010,Anna McCrea Public School,Public,Elementary,250 Mark St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A3M7,705-945-7221,46.50593,-84.2873,705-945-7106,http://www.adsb.on.ca/sites/schools/amc/default.aspx
043362,B28010,Ben R McMullin Public School,Public,Elementary,24 Paradise Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B5K2,705-945-7205,46.52455,-84.298,705-945-7108,http://www.adsb.on.ca/sites/schools/brm/default.aspx
054542,B28010,Blind River Public School,Public,Elementary,19 Hanes Ave,Blind River,Blind River,Ontario,P0R1B0,705-356-0271,46.18454,-82.9576,705-356-7752,http://www.adsb.on.ca/sites/schools/bli/default.aspx
490822,B28010,Boreal French Immersion Public School,Public,Elementary,232 Northern Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4H6,705-945-7349,46.52447,-84.3107,705-945-7149,http://rosedale.adsb.on.ca/
137967,B28010,Central Algoma Intermediate School,Public,Elementary,32 Kensington Road,Huron Shores,Desbarats,Ontario,P0R1E0,705-782-4288,46.34007,-83.9369,705-782-6263,http://www.adsb.on.ca/sites/schools/cis/default.aspx
285552,B28010,Central Algoma Public School,Public,Elementary,5 Margaret St,Johnson,Desbarats,Ontario,P0R1E0,705-782-0260,46.34875,-83.9253,705-782-6233,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=40
891347,B28010,Central Algoma Secondary School,Public,Secondary,32 Kensington Rd,Johnson,Desbarats,Ontario,P0R1E0,705-782-4288,46.33811,-83.9355,705-782-6263,http://www.adsb.on.ca/sites/schools/cas/default.aspx
093548,B28010,Central Avenue Public School,Public,Elementary,81 Central Ave,Elliot Lake,Elliot Lake,Ontario,P5A2G4,705-848-4805,46.3904,-82.6588,705-848-3951,http://www.adsb.on.ca/sites/schools/cen/default.aspx
900869,B28010,Chapleau High School,Public,Secondary,20 Teak St,Chapleau,Chapleau,Ontario,P0M1K0,705-864-2367,47.84273,-83.4083,705-864-1452,http://www.adsb.on.ca/sites/schools/css/default.aspx
101214,B28010,Chapleau Public School,Public,Elementary,24 Pine St,Chapleau,Chapleau,Ontario,P0M1K0,705-864-1606,47.84496,-83.4033,705-864-1170,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=24
161276,B28010,East View Public School,Public,Elementary,75 Arizona Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A4L9,705-945-7400,46.51668,-84.28,705-945-7115,http://www.adsb.on.ca/sites/schools/evs/default.aspx
