School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,Total Enrolment
902344,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,10,10,30,175,225
490822,2019-2020,Public,Elementary,55,55,40,40,50,35,35,35,0,0,0,0,345
137967,2019-2020,Public,Elementary,0,0,0,0,0,0,70,90,0,0,0,0,160
285552,2019-2020,Public,Elementary,10,10,10,20,30,25,0,0,0,0,0,0,105
891347,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,90,80,85,90,345
900869,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,15,10,15,25,65
101214,2019-2020,Public,Elementary,10,10,10,10,15,15,10,10,0,0,0,0,90
161276,2019-2020,Public,Elementary,25,25,40,30,25,45,30,30,0,0,0,0,250
165042,2019-2020,Public,Elementary,25,30,35,15,30,25,0,0,0,0,0,0,160
908010,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,75,80,40,90,285
186783,2019-2020,Public,Elementary,10,20,15,15,15,10,10,15,0,0,0,0,110
202614,2019-2020,Public,Elementary,55,50,55,55,55,50,55,45,0,0,0,0,420
227331,2019-2020,Public,Elementary,30,30,25,20,25,25,30,25,0,0,0,0,210
230561,2019-2020,Public,Elementary,25,25,20,25,25,15,25,10,0,0,0,0,170
237191,2019-2020,Public,Elementary,20,15,35,25,30,45,15,30,0,0,0,0,215
917370,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,15,10,10,10,45
264750,2019-2020,Public,Elementary,10,10,10,10,10,10,10,10,0,0,0,0,80
278270,2019-2020,Public,Elementary,20,20,20,30,30,30,0,0,0,0,0,0,150
302350,2019-2020,Public,Elementary,30,30,25,20,25,10,0,0,0,0,0,0,140
920533,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,230,235,190,210,865
926086,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,25,25,20,30,100
195200,2019-2020,Public,Elementary,20,20,20,15,20,20,10,15,0,0,0,0,140
891150,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,0,10,10,10,30
410870,2019-2020,Public,Elementary,30,20,30,20,30,20,20,15,0,0,0,0,185
434922,2019-2020,Public,Elementary,20,15,20,10,10,25,10,20,0,0,0,0,130
442054,2019-2020,Public,Elementary,20,25,20,20,25,30,20,25,0,0,0,0,185
462616,2019-2020,Public,Elementary,35,45,30,25,30,35,25,20,0,0,0,0,245
468339,2019-2020,Public,Elementary,30,25,20,35,30,25,30,15,0,0,0,0,210
485497,2019-2020,Public,Elementary,20,20,25,15,20,15,25,10,0,0,0,0,150
515396,2019-2020,Public,Elementary,10,10,10,10,10,15,10,15,0,0,0,0,90
530603,2019-2020,Public,Elementary,10,15,20,10,20,15,0,0,0,0,0,0,90
958050,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,180,175,190,205,750
672610,2019-2020,Public,Elementary,0,0,0,0,0,0,0,25,0,0,0,0,25
106913,2019-2020,Public,Elementary,0,0,0,0,0,0,55,60,0,0,0,0,115
548413,2019-2020,Public,Elementary,35,30,35,30,25,25,15,25,0,0,0,0,220
551660,2019-2020,Public,Elementary,20,20,20,20,20,30,0,0,0,0,0,0,130
