Board Number|Board Name|School Number|School Name|School Type|School Level|School Language|Junior Kindergarten Enrolment|Kindergarten Enrolment|Grade 1 Enrolment|Grade 2 Enrolment|Grade 3 Enrolment|Grade 4 Enrolment|Grade 5 Enrolment|Grade 6 Enrolment|Grade 7 Enrolment|Grade 8 Enrolment|Grade 9 Enrolment|Grade 10 Enrolment|Grade 11 Enrolment|Grade 12 Enrolment
B28010|Algoma DSB|902344|Algoma Education Connection Secondary School|Public|Secondary|English|||||||||||<10|<10|30|175
B28010|Algoma DSB|019186|Anna McCrea Public School|Public|Elementary|English|20|30|25|15|15|30|15|30|20|<10||||
B28010|Algoma DSB|067679|Arthur Henderson Public School|Public|Elementary|English|<10|<10|<10|<10|10|||||||||
B28010|Algoma DSB|043362|Ben R McMullin Public School|Public|Elementary|English|15|10|15|20|15|20|15|20|15|<10||||
B28010|Algoma DSB|054542|Blind River Public School|Public|Elementary|English|15|15|10|10|15|15|25|25|15|30||||
B28010|Algoma DSB|490822|Boreal French Immersion Public School|Public|Elementary|English|65|60|55|55|40|40|50|35|35|35||||
B28010|Algoma DSB|137967|Central Algoma Intermediate School|Public|Elementary|English|||||||||70|90||||
B28010|Algoma DSB|285552|Central Algoma Public School|Public|Elementary|English|<10|<10|<10|10|<10|20|30|25||||||
B28010|Algoma DSB|891347|Central Algoma Secondary School|Public|Secondary|English|||||||||||90|80|85|90
B28010|Algoma DSB|093548|Central Avenue Public School|Public|Elementary|English|20|15|20|20|25|25|25|35|40|35||||
B28010|Algoma DSB|900869|Chapleau High School|Public|Secondary|English|||||||||||15|<10|15|25
B28010|Algoma DSB|101214|Chapleau Public School|Public|Elementary|English|<10|15|<10|10|<10|<10|15|15|10|10||||
B28010|Algoma DSB|161276|East View Public School|Public|Elementary|English|20|25|25|25|40|30|25|45|30|30||||
B28010|Algoma DSB|165042|Echo Bay Central Public School|Public|Elementary|English|30|35|25|30|35|15|30|25||||||
B28010|Algoma DSB|908010|Elliot Lake Secondary School|Public|Secondary|English|||||||||||75|80|40|90
B28010|Algoma DSB|186783|Esten Park Public School|Public|Elementary|English|20|15|10|20|15|15|15|<10|10|15||||
B28010|Algoma DSB|202614|Francis H Clergue Public School|Public|Elementary|English|60|65|55|50|55|55|55|50|55|45||||
B28010|Algoma DSB|227331|Grand View Public School|Public|Elementary|English|20|40|30|30|25|20|25|25|30|25||||
B28010|Algoma DSB|230561|Greenwood Public School|Public|Elementary|English|20|30|25|25|20|25|25|15|25|10||||
B28010|Algoma DSB|237191|H M Robbins Public School|Public|Elementary|English|20|30|20|15|35|25|30|45|15|30||||
B28010|Algoma DSB|917370|Hornepayne High School|Public|Secondary|English|||||||||||15|<10|<10|10
B28010|Algoma DSB|264750|Hornepayne Public School|Public|Elementary|English|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B28010|Algoma DSB|278270|Isabel Fletcher Public School|Public|Elementary|English|15|20|20|20|20|30|30|30||||||
B28010|Algoma DSB|302350|Kiwedin Public School|Public|Elementary|English|20|20|30|30|25|20|25|10||||||
B28010|Algoma DSB|920533|Korah Collegiate and Vocational School|Public|Secondary|English|||||||||||230|235|190|210
B28010|Algoma DSB|018309|Korah Intermediate School|Public|Elementary|English|||||||||85|80||||
B28010|Algoma DSB|926086|Michipicoten High School|Public|Secondary|English|||||||||||25|25|20|30
B28010|Algoma DSB|368490|Missarenda Consolidated Public School|Public|Elementary|English||||||||<10||<10||||
B28010|Algoma DSB|195200|Mountain View Public School|Public|Elementary|English|30|25|20|20|20|15|20|20|<10|15||||
B28010|Algoma DSB|891150|North Shore Adolescent Education School|Public|Secondary|English||||||||||||<10|<10|10
B28010|Algoma DSB|410870|Northern Heights Public School|Public|Elementary|English|25|20|30|20|30|20|30|20|20|15||||
B28010|Algoma DSB|434922|Parkland Public School|Public|Elementary|English|15|15|20|15|20|10|10|25|10|20||||
B28010|Algoma DSB|442054|Pinewood Public School|Public|Elementary|English|20|30|20|25|20|20|25|30|20|25||||
B28010|Algoma DSB|462616|Queen Elizabeth Public School|Public|Elementary|English|30|30|35|45|30|25|30|35|25|20||||
B28010|Algoma DSB|468339|R M Moore Public School|Public|Elementary|English|25|40|30|25|20|35|30|25|30|15||||
B28010|Algoma DSB|485497|River View Public School|Public|Elementary|English|20|20|20|20|25|15|20|15|25|10||||
B28010|Algoma DSB|677523|Rockhaven School forExceptional Children Public School|Public|Elementary|English||||<10|<10|<10||||<10||||
B28010|Algoma DSB|515396|Sir James Dunn Public School|Public|Elementary|English|<10|<10|<10|<10|10|10|10|15|10|15||||
B28010|Algoma DSB|530603|St Joseph Island Central Public School|Public|Elementary|English|10|10|<10|15|20|<10|20|15||||||
B28010|Algoma DSB|958050|Superior Heights Collegiate and Vocational School|Public|Secondary|English|||||||||||180|175|190|205
B28010|Algoma DSB|672610|Superior Heights Community Education|Public|Elementary|English||||||||||25||||
B28010|Algoma DSB|106913|Superior Heights Intermediate School|Public|Elementary|English|||||||||55|60||||
B28010|Algoma DSB|548413|Tarentorus Public School|Public|Elementary|English|35|30|35|30|35|30|25|25|15|25||||
B28010|Algoma DSB|551660|Thessalon Public School|Public|Elementary|English|10|30|20|20|20|20|20|30||||||
B28010|Algoma DSB|895270|W C Eaket Secondary School|Public|Secondary|English|||||||||||30|30|25|40
B28010|Algoma DSB|953148|White Pines Collegiate and Vocational School|Public|Secondary|English|||||||||||105|120|110|130
B28010|Algoma DSB|144872|White Pines Intermediate School|Public|Elementary|English|||||||||30|30||||
B67202|Algonquin and Lakeshore CDSB|765031|Archbishop O'Sullivan Catholic School|Catholic|Elementary|English|20|20|20|25|15|30|30|35|25|25||||
B67202|Algonquin and Lakeshore CDSB|827681|Cathedrale Catholic School|Catholic|Elementary|English|45|45|55|55|60|40|40|35|30|15||||
B67202|Algonquin and Lakeshore CDSB|708011|Georges Vanier Catholic School|Catholic|Elementary|English|30|25|35|30|30|40|45|40|35|45||||
B67202|Algonquin and Lakeshore CDSB|715298|Holy Cross Catholic Secondary School|Catholic|Secondary|English|||||||||||290|250|225|340
B67202|Algonquin and Lakeshore CDSB|717703|Holy Name Catholic School|Catholic|Elementary|English|20|10|10|20|15|15|15|<10|<10|15||||
B67202|Algonquin and Lakeshore CDSB|865257|Holy Name of Mary Catholic School|Catholic|Elementary|English|10|20|15|10|15|10|<10|<10|15|15||||
B67202|Algonquin and Lakeshore CDSB|719919|Holy Rosary Catholic School|Catholic|Elementary|English|20|20|25|20|20|20|10|20|30|30||||
B67202|Algonquin and Lakeshore CDSB|735523|J J O'Neill Catholic School|Catholic|Elementary|English|20|25|25|30|25|30|35|25|35|25||||
B67202|Algonquin and Lakeshore CDSB|724068|John XXIII Catholic School|Catholic|Elementary|English|20|15|25|15|25|25|30|20|25|30||||
B67202|Algonquin and Lakeshore CDSB|728420|Loyola Community Learning Centre|Catholic|Secondary|English|||||||||||||190|170
B67202|Algonquin and Lakeshore CDSB|773875|Mother Teresa Catholic School|Catholic|Elementary|English|35|40|35|45|45|45|45|50|45|35||||
B67202|Algonquin and Lakeshore CDSB|835099|Nicholson Catholic College|Catholic|Secondary|English|||||||||||100|105|95|110
B67202|Algonquin and Lakeshore CDSB|742279|Our Lady of Fatima Catholic School|Catholic|Elementary|English|20|20|10|20|20|20|20|25|20|15||||
B67202|Algonquin and Lakeshore CDSB|746568|Our Lady of Lourdes Catholic School|Catholic|Elementary|English|20|20|25|20|25|35|25|45|30|25||||
B67202|Algonquin and Lakeshore CDSB|746690|Our Lady of Mercy Catholic School|Catholic|Elementary|English|20|20|25|15|20|15|25|10|20|20||||
B67202|Algonquin and Lakeshore CDSB|706264|Our Lady of Mount Carmel Catholic School|Catholic|Elementary|English|60|55|60|60|40|65|50|50|35|50||||
B67202|Algonquin and Lakeshore CDSB|752932|Regiopolis/Notre-Dame Catholic High School|Catholic|Secondary|English|||||||||||205|230|235|310
B67202|Algonquin and Lakeshore CDSB|756830|Sacred Heart Catholic School|Catholic|Elementary|English|10|15|10|10|15|<10|20|10|15|<10||||
B67202|Algonquin and Lakeshore CDSB|764370|Sacred Heart Catholic School|Catholic|Elementary|English|20|15|20|10|15|15|20|10|<10|15||||
B67202|Algonquin and Lakeshore CDSB|868370|Sacred Heart Catholic School|Catholic|Elementary|English|<10|10|<10|<10|<10|<10|<10|<10|<10|<10||||
B67202|Algonquin and Lakeshore CDSB|781142|St Carthagh Catholic School|Catholic|Elementary|English|10|15|15|20|15|10|20|20|15|15||||
B67202|Algonquin and Lakeshore CDSB|756642|St Francis of Assisi Catholic School|Catholic|Elementary|English|20|25|25|20|25|25|30|25|40|30||||
B67202|Algonquin and Lakeshore CDSB|796220|St Gregory Catholic School|Catholic|Elementary|English|15|25|20|30|35|35|25|20|25|15||||
B67202|Algonquin and Lakeshore CDSB|799556|St James Major|Catholic|Elementary|English|<10|<10|<10|<10|<10|<10|<10|<10|<10|<10||||
B67202|Algonquin and Lakeshore CDSB|815330|St Joseph Catholic School|Catholic|Elementary|English|25|35|30|40|40|45|35|30|35|35||||
B67202|Algonquin and Lakeshore CDSB|830984|St Marguerite Bourgeoys Catholic School|Catholic|Elementary|English|40|40|40|60|30|35|35|45|50|40||||
B67202|Algonquin and Lakeshore CDSB|823570|St Martha Catholic School|Catholic|Elementary|English|40|30|25|30|30|40|30|45|25|40||||
B67202|Algonquin and Lakeshore CDSB|824330|St Martin of Tours Catholic School|Catholic|Elementary|English|<10|||<10||<10|<10|<10|<10|<10||||
B67202|Algonquin and Lakeshore CDSB|831840|St Mary Catholic School|Catholic|Elementary|English|40|40|50|50|45|50|45|45||||||
B67202|Algonquin and Lakeshore CDSB|865125|St Mary Catholic School|Catholic|Elementary|English|10|15|10|15|<10|10|10|<10|<10|15||||
