Board Number,Year,Four Year Graduation Rate 2017-2018 Grade 9 Cohort,Progress in Four Year Graduation Rate 2017-2018 Grade 9 Cohort,Five Year Graduation Rate 2017-2018 Grade 9 Cohort,Progress in Five Year Graduation Rate 2017-2018 Grade 9 Cohort,Four Year Graduation Rate 2018-2019 Grade 9 Cohort,Progress in Four Year Graduation Rate 2018-2019 Grade 9 Cohort
B28010,2021-2022,0.718,0.018,0.76,-0.009,0.709,-0.037
B67202,2021-2022,0.88,0.004,0.923,0.015,0.882,-0.014
B66010,2021-2022,0.81,0.066,0.868,-0.002,0.806,0.013
B66001,2021-2022,0.711,0.011,0.824,0.004,0.701,-0.017
B67164,2021-2022,0.797,-0.038,0.868,-0.018,0.856,0.05
B67008,2021-2022,0.868,0.027,0.923,0.018,0.857,0.016
B67172,2021-2022,0.882,0.014,0.911,0.014,0.886,-0.005
B66311,2021-2022,0.915,0.008,0.935,0.008,0.897,-0.007
B67300,2021-2022,0.96,0.062,0.97,0.04,0.937,-0.029
B67318,2021-2022,0.938,0.021,0.96,0.022,0.943,0.002
B28118,2021-2022,0.862,0.021,0.899,0.021,0.842,-0.053
B28100,2021-2022,0.814,-0.068,0.873,-0.041,0.867,0.01
B66303,2021-2022,0.919,0.029,0.937,0.015,0.922,0.028
B67326,2021-2022,0.902,-0.026,0.918,-0.023,0.919,-0.013
B29130,2021-2022,0.914,0.114,0.943,0.086,0.857,-0.071
B29106,2021-2022,0.866,-0.035,0.905,-0.018,0.892,-0.017
B67334,2021-2022,0.938,-0.003,0.952,-0.001,0.938,0.004
B29122,2021-2022,0.947,0.057,0.964,0.049,0.945,0.012
B29114,2021-2022,0.915,-0.036,0.957,-0.007,0.907,-0.018
B66150,2021-2022,0.786,-0.02,0.861,0.011,0.803,-0.02
B28002,2021-2022,0.595,0.022,0.727,0.021,0.619,0.023
B67083,2021-2022,0.909,0.013,0.937,0.005,0.905,-0.006
B67105,2021-2022,0.899,-0.001,0.919,-0.008,0.908,-0.015
B66060,2021-2022,0.847,0.013,0.893,-0.002,0.866,0.015
B66168,2021-2022,0.655,0.002,0.784,-0.004,0.708,0.022
B66028,2021-2022,0.779,-0.025,0.852,-0.005,0.809,-0.018
B67113,2021-2022,0.914,0.01,0.94,0.002,0.919,0.013
B66133,2021-2022,0.89,0.021,0.941,0.012,0.891,0.008
B67121,2021-2022,0.831,0.027,0.89,0.016,0.843,0.015
B66141,2021-2022,0.719,-0.017,0.812,-0.004,0.754,0.005
B66222,2021-2022,0.734,0.026,0.786,0.023,0.783,0.06
B67016,2021-2022,0.865,-0.015,0.908,-0.014,0.888,-0.015
B29025,2021-2022,0.828,0.021,0.854,0.004,0.871,0.072
B66079,2021-2022,0.801,-0.001,0.855,-0.001,0.821,-0.003
B28045,2021-2022,0.612,-0.048,0.681,-0.046,0.633,-0.049
B29050,2021-2022,0.786,-0.014,0.845,-0.021,0.71,-0.04
B28061,2021-2022,0.685,-0.001,0.759,0.028,0.674,-0.034
B66036,2021-2022,0.749,0.032,0.825,0.019,0.727,0.005
B66206,2021-2022,0.83,0.031,0.885,0.029,0.827,0.013
B67032,2021-2022,0.89,0.031,0.929,0.025,0.87,-0.006
B28037,2021-2022,0.726,-0.008,0.8,-0.011,0.783,0.015
B67156,2021-2022,0.909,-0.002,0.941,0.003,0.903,0.011
B29017,2021-2022,0.759,0.033,0.806,0.013,0.71,-0.041
B29009,2021-2022,0.712,-0.007,0.788,-0.008,0.789,0.039
B29041,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0
B67180,2021-2022,0.899,0.016,0.924,0.018,0.911,0.013
B66184,2021-2022,0.861,0.018,0.905,0.012,0.86,0.005
B66125,2021-2022,0.878,0.019,0.925,0.024,0.881,0.005
B67067,2021-2022,0.881,-0.021,0.905,-0.019,0.907,0.002
B28029,2021-2022,0.696,0.007,0.785,0.013,0.702,-0.007
B28053,2021-2022,0.705,-0.007,0.737,0.001,0.713,0.004
B67199,2021-2022,0.84,0.048,0.891,0.012,0.831,0.019
B66214,2021-2022,0.782,-0.021,0.864,-0.006,0.833,0.05
B66109,2021-2022,0.803,0.019,0.866,0.024,0.796,-0.009
B67091,2021-2022,0.869,0.008,0.907,0.01,0.871,-0.018
B67040,2021-2022,0.829,0.03,0.906,0.009,0.843,0.013
B29033,2021-2022,0.809,0.024,0.853,0.025,0.787,-0.017
B29076,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0
B28070,2021-2022,0.642,0.11,0.715,0.019,0.616,-0.021
B66044,2021-2022,0.743,0.059,0.835,0.016,0.756,0.028
B29068,2021-2022,0.778,-0.001,0.829,-0.007,0.777,-0.027
B67059,2021-2022,0.877,0.029,0.91,0.019,0.887,0.011
B66052,2021-2022,0.797,0.023,0.858,0.003,0.814,0.012
B66087,2021-2022,0.818,0.007,0.865,0.006,0.823,0.024
B66192,2021-2022,0.819,0.015,0.875,0.002,0.836,0.021
B66117,2021-2022,0.824,0.029,0.888,0.008,0.842,0.035
B67148,2021-2022,0.789,-0.01,0.859,0.002,0.825,-0.005
B66176,2021-2022,0.778,0.061,0.862,0.023,0.801,0.036
B67130,2021-2022,0.887,0.001,0.94,-0.003,0.907,0.024
B67024,2021-2022,0.911,0.037,0.938,0.025,0.904,0.009
B67075,2021-2022,0.954,0.002,0.973,0.006,0.96,0.004
B66095,2021-2022,0.902,0.009,0.942,0.004,0.909,0.001
