School Number,School Type,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment
19186,Public,20,40,30,25,20,30,15,25
43362,Public,15,15,20,25,20,20,20,15
54542,Public,15,15,20,10,15,20,20,30
490822,Public,65,55,45,40,35,40,40,25
137967,Public,0,0,0,0,0,0,100,105
285552,Public,15,15,20,20,20,25,0,0
93548,Public,20,20,20,15,30,25,0,0
101214,Public,10,15,10,10,10,10,20,15
161276,Public,30,30,20,30,35,35,25,40
165042,Public,30,35,25,35,30,20,0,0
293055,Public,0,0,0,0,0,0,45,50
186783,Public,25,15,15,20,15,10,0,0
202614,Public,60,55,45,40,55,55,45,45
227331,Public,20,45,35,30,35,25,15,20
230561,Public,30,35,30,30,25,30,15,10
237191,Public,15,20,20,15,30,25,20,30
264750,Public,10,10,10,10,10,10,10,10
278270,Public,20,25,30,25,25,25,0,0
302350,Public,20,25,25,30,20,20,0,0
18309,Public,0,0,0,0,0,0,85,115
195200,Public,25,25,25,25,20,15,25,20
410870,Public,25,20,30,20,25,20,25,15
434922,Public,15,15,15,10,20,15,10,10
442054,Public,30,30,25,30,25,15,25,30
462616,Public,30,25,35,45,30,30,30,30
468339,Public,25,45,35,30,20,35,20,10
485497,Public,15,25,25,25,30,20,20,15
677523,Public,0,0,0,0,10,0,0,10
515396,Public,10,10,10,10,15,10,10,15
530603,Public,15,10,10,10,20,10,0,0
672610,Public,0,0,0,0,0,0,0,20
106913,Public,0,0,0,0,0,0,55,50
548413,Public,35,30,30,30,40,30,25,20
551660,Public,15,25,20,20,20,25,0,0
144872,Public,0,0,0,0,0,0,15,35
765031,Catholic,20,20,15,25,15,30,25,40
827681,Catholic,45,45,45,50,55,30,10,30
683773,Catholic,0,10,10,0,0,0,10,0
708011,Catholic,30,25,35,35,30,40,40,40
717703,Catholic,20,10,10,20,10,15,15,10
865257,Catholic,10,20,15,10,15,10,10,10
719919,Catholic,20,20,25,25,25,20,20,25
735523,Catholic,30,25,25,30,30,30,30,20
724068,Catholic,25,20,25,20,25,25,30,20
773875,Catholic,40,45,40,45,50,45,50,45
690932,Catholic,0,0,0,0,0,0,60,55
742279,Catholic,25,15,10,20,20,15,10,20
746568,Catholic,20,25,25,25,20,30,25,45
746690,Catholic,20,20,25,15,20,15,25,10
706264,Catholic,60,60,65,60,40,60,40,35
756830,Catholic,10,20,10,10,15,10,15,10
764370,Catholic,20,15,15,10,15,15,20,10
868370,Catholic,10,10,10,10,10,10,10,10
781142,Catholic,10,15,15,15,10,10,15,15
756642,Catholic,20,20,25,25,25,25,30,25
796220,Catholic,15,25,20,30,25,35,20,15
799556,Catholic,10,10,10,10,10,10,10,10
815330,Catholic,30,40,35,45,40,50,40,30
830984,Catholic,45,45,45,60,35,30,35,40
823570,Catholic,40,30,25,30,30,45,20,30
824330,Catholic,10,0,0,10,10,10,10,10
831840,Catholic,40,40,45,45,35,40,0,0
865125,Catholic,10,15,10,10,10,10,10,10
834688,Catholic,75,75,55,70,70,65,0,0
841773,Catholic,30,20,25,20,30,25,25,30
764248,Catholic,10,10,10,10,0,10,10,10
706744,Catholic,0,0,0,0,0,0,85,100
842761,Catholic,15,10,10,15,10,10,20,15
845493,Catholic,55,45,40,50,50,60,0,0
856150,Catholic,25,20,15,25,25,25,25,20
19313,Public,40,40,40,40,45,50,0,0
20878,Public,25,10,15,20,25,30,20,35
28673,Public,50,55,50,55,50,55,0,0
39306,Public,60,75,55,50,50,65,0,0
272319,Public,25,25,15,15,10,10,0,0
66699,Public,35,20,35,20,25,20,25,20
93718,Public,15,20,10,15,15,20,15,20
112917,Public,20,30,25,25,25,25,35,35
145912,Public,15,15,20,15,15,20,20,20
175170,Public,30,30,45,20,35,25,50,35
190527,Public,55,55,40,30,50,40,0,0
181908,Public,0,0,0,0,0,0,85,75
450242,Public,0,0,0,0,0,0,55,75
478133,Public,50,65,75,50,75,65,0,0
242527,Public,30,20,15,30,15,20,0,0
268003,Public,25,30,35,20,35,20,45,25
268640,Public,25,30,20,30,25,25,35,30
273694,Public,40,30,35,35,40,40,40,25
