School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
902344,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,0,10,30,160
19186,2021-2022,Public,Elementary,20,40,30,25,20,30,15,25,0,0,0,0
43362,2021-2022,Public,Elementary,15,15,20,25,20,20,20,15,0,0,0,0
54542,2021-2022,Public,Elementary,15,15,20,10,15,20,20,30,0,0,0,0
490822,2021-2022,Public,Elementary,65,55,45,40,35,40,40,25,0,0,0,0
137967,2021-2022,Public,Elementary,0,0,0,0,0,0,100,105,0,0,0,0
285552,2021-2022,Public,Elementary,15,15,20,20,20,25,0,0,0,0,0,0
891347,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,75,90,80,80
93548,2021-2022,Public,Elementary,20,20,20,15,30,25,0,0,0,0,0,0
900869,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,15,15,15,10
101214,2021-2022,Public,Elementary,10,15,10,10,10,10,20,15,0,0,0,0
161276,2021-2022,Public,Elementary,30,30,20,30,35,35,25,40,0,0,0,0
165042,2021-2022,Public,Elementary,30,35,25,35,30,20,0,0,0,0,0,0
293055,2021-2022,Public,Elementary,0,0,0,0,0,0,45,50,0,0,0,0
908010,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,95,80,80,90
186783,2021-2022,Public,Elementary,25,15,15,20,15,10,0,0,0,0,0,0
202614,2021-2022,Public,Elementary,60,55,45,40,55,55,45,45,0,0,0,0
227331,2021-2022,Public,Elementary,20,45,35,30,35,25,15,20,0,0,0,0
230561,2021-2022,Public,Elementary,30,35,30,30,25,30,15,10,0,0,0,0
237191,2021-2022,Public,Elementary,15,20,20,15,30,25,20,30,0,0,0,0
917370,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,10,15,10
264750,2021-2022,Public,Elementary,10,10,10,10,10,10,10,10,0,0,0,0
278270,2021-2022,Public,Elementary,20,25,30,25,25,25,0,0,0,0,0,0
302350,2021-2022,Public,Elementary,20,25,25,30,20,20,0,0,0,0,0,0
920533,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,265,240,225,240
18309,2021-2022,Public,Elementary,0,0,0,0,0,0,85,115,0,0,0,0
926086,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,30,25,30,30
195200,2021-2022,Public,Elementary,25,25,25,25,20,15,25,20,0,0,0,0
891150,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,10,10,10,10
410870,2021-2022,Public,Elementary,25,20,30,20,25,20,25,15,0,0,0,0
434922,2021-2022,Public,Elementary,15,15,15,10,20,15,10,10,0,0,0,0
442054,2021-2022,Public,Elementary,30,30,25,30,25,15,25,30,0,0,0,0
462616,2021-2022,Public,Elementary,30,25,35,45,30,30,30,30,0,0,0,0
468339,2021-2022,Public,Elementary,25,45,35,30,20,35,20,10,0,0,0,0
485497,2021-2022,Public,Elementary,15,25,25,25,30,20,20,15,0,0,0,0
677523,2021-2022,Public,Elementary,0,0,0,0,10,0,0,10,0,0,0,0
515396,2021-2022,Public,Elementary,10,10,10,10,15,10,10,15,0,0,0,0
530603,2021-2022,Public,Elementary,15,10,10,10,20,10,0,0,0,0,0,0
958050,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,255,195,180,195
672610,2021-2022,Public,Elementary,0,0,0,0,0,0,0,20,0,0,0,0
106913,2021-2022,Public,Elementary,0,0,0,0,0,0,55,50,0,0,0,0
548413,2021-2022,Public,Elementary,35,30,30,30,40,30,25,20,0,0,0,0
551660,2021-2022,Public,Elementary,15,25,20,20,20,25,0,0,0,0,0,0
895270,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,45,30,45
