School Number,School Type,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
902344,Public,0,10,30,160
891347,Public,75,90,80,80
900869,Public,15,15,15,10
908010,Public,95,80,80,90
917370,Public,10,10,15,10
920533,Public,265,240,225,240
926086,Public,30,25,30,30
891150,Public,10,10,10,10
958050,Public,255,195,180,195
895270,Public,25,45,30,45
953148,Public,130,140,85,135
715298,Catholic,275,265,290,330
728420,Catholic,0,0,120,210
835099,Catholic,95,115,105,100
752932,Catholic,195,235,205,270
841358,Catholic,110,70,100,95
851752,Catholic,185,195,160,190
893048,Public,0,10,10,25
899569,Public,135,115,115,105
953776,Public,115,120,145,150
913600,Public,75,85,95,120
923095,Public,225,200,205,275
927120,Public,80,75,60,100
943118,Public,115,115,115,130
944807,Public,100,95,115,135
893395,Public,320,295,300,430
896969,Public,25,25,30,25
925438,Public,100,80,60,90
914444,Public,165,150,140,175
915556,Public,140,150,165,190
919454,Public,150,115,115,160
951692,Public,295,255,295,395
953253,Public,25,35,40,35
940127,Public,140,175,170,200
950262,Public,110,95,90,120
688088,Catholic,415,395,360,455
772058,Catholic,10,30,25,40
720232,Catholic,240,250,245,290
751898,Catholic,285,285,245,270
852434,Catholic,10,20,20,75
759430,Catholic,170,135,170,210
776599,Catholic,235,205,220,355
715190,Catholic,110,95,125,135
736457,Catholic,125,105,115,155
751502,Catholic,65,60,55,60
804800,Catholic,95,85,70,90
806277,Catholic,170,210,170,185
824593,Catholic,105,110,135,125
726176,Catholic,35,25,20,40
832480,Catholic,125,130,125,110
745698,Catholic,0,10,10,10
803065,Catholic,25,25,15,20
733067,Catholic,130,115,140,120
918997,Public,50,60,40,50
922089,Public,40,15,0,0
909858,Public,10,15,10,10
907553,Public,30,15,25,15
910554,Public,65,70,55,55
914723,Public,45,35,25,40
907308,Public,30,35,30,20
907642,Public,100,110,110,110
934852,Public,25,25,25,25
896889,Public,35,25,20,25
925326,Public,55,40,50,30
901037,Public,50,50,40,55
952803,Public,55,55,45,40
961008,Public,35,40,30,35
907588,Public,60,50,65,65
683922,Catholic,75,55,65,60
780213,Catholic,10,10,10,10
733458,Catholic,30,50,45,45
740390,Catholic,70,50,80,65
854087,Catholic,10,10,10,10
846041,Catholic,65,55,45,50
751073,Catholic,115,90,125,95
705357,Catholic,145,155,120,110
706477,Catholic,120,125,110,80
691950,Catholic,95,45,55,65
782017,Catholic,110,90,120,100
790001,Catholic,140,155,130,115
865368,Catholic,105,95,95,75
955622,Public,10,10,10,35
912573,Public,10,15,10,10
924792,Public,10,10,10,10
907448,Public,35,45,30,20
907570,Public,115,80,70,110
965570,Public,10,10,10,10
911100,Public,10,10,10,15
890817,Public,10,15,10,10
902306,Public,0,0,10,10
966753,Public,10,10,10,10
922870,Public,20,20,20,25
918296,Public,10,15,10,15
919055,Public,20,20,20,15
946117,Public,30,30,20,25
909335,Public,15,10,10,10
922874,Public,10,0,0,0
685011,Catholic,115,105,100,110
710660,Catholic,65,80,65,85
710504,Catholic,15,10,10,10
704920,Catholic,120,110,105,115
728330,Catholic,135,140,135,105
725684,Catholic,115,110,70,95
752908,Catholic,70,60,60,60
695050,Catholic,155,125,140,140
752720,Catholic,70,55,60,70
713740,Catholic,80,75,70,95
701718,Catholic,35,40,35,25
724157,Catholic,25,20,20,30
698725,Catholic,50,45,55,75
835005,Catholic,10,10,10,10
711110,Catholic,60,55,60,60
686085,Catholic,10,10,10,15
822507,Catholic,65,80,45,80
864650,Catholic,175,170,160,175
705020,Catholic,10,15,10,15
855949,Catholic,20,25,25,15
705314,Catholic,205,245,225,225
694827,Catholic,135,140,125,125
695955,Catholic,180,165,175,200
705233,Catholic,265,265,225,250
710903,Catholic,200,165,170,185
696021,Catholic,55,40,35,45
750085,Catholic,35,45,50,35
846435,Catholic,180,175,140,125
804005,Catholic,15,10,10,10
758231,Catholic,230,185,180,160
832670,Catholic,215,205,185,200
705373,Catholic,20,25,25,20
695483,Catholic,10,10,10,10
698989,Catholic,90,90,100,110
707511,Catholic,20,15,20,15
696048,Catholic,65,85,75,65
705004,Catholic,10,15,10,20
755770,Catholic,20,10,10,10
701700,Catholic,10,15,15,10
704970,Catholic,15,20,10,20
771473,Catholic,115,105,85,110
705110,Catholic,65,50,55,55
704717,Catholic,115,125,110,140
860919,Catholic,0,0,10,10
728772,Catholic,155,160,220,205
870503,Catholic,10,10,0,0
708500,Catholic,80,55,75,55
705438,Catholic,30,25,15,20
705101,Catholic,10,10,10,10
791601,Catholic,20,25,30,20
707015,Catholic,65,80,65,85
918090,Public,0,0,0,10
922609,Public,10,40,45,115
907430,Public,305,265,270,235
912662,Public,185,220,195,195
898582,Public,25,25,20,35
920550,Public,10,20,35,30
907464,Public,45,20,80,30
907480,Public,15,10,15,10
949540,Public,55,80,80,80
904945,Public,210,185,175,120
901539,Public,35,30,15,10
930144,Public,50,65,40,65
907472,Public,30,25,10,15
907421,Public,75,95,80,90
890139,Public,70,35,30,0
903237,Public,10,0,0,0
890200,Public,295,270,275,365
894109,Public,115,100,105,125
935455,Public,70,70,50,45
906328,Public,185,190,190,220
906972,Public,115,110,95,115
907677,Public,270,295,315,285
