School Number,Board Number,School Name,School Type,School Level,Phone Number,School Website
902344,B28010,Algoma Education Connection Secondary School,Public,Secondary,705-945-7194,http://www.adsb.on.ca
019186,B28010,Anna McCrea Public School,Public,Elementary,705-945-7106,http://www.adsb.on.ca/sites/schools/amc/default.aspx
043362,B28010,Ben R McMullin Public School,Public,Elementary,705-945-7108,http://www.adsb.on.ca/sites/schools/brm/default.aspx
054542,B28010,Blind River Public School,Public,Elementary,705-356-7752,http://www.adsb.on.ca/sites/schools/bli/default.aspx
490822,B28010,Boreal French Immersion Public School,Public,Elementary,705-945-7149,http://rosedale.adsb.on.ca/
137967,B28010,Central Algoma Intermediate School,Public,Elementary,705-782-6263,http://www.adsb.on.ca/sites/schools/cis/default.aspx
285552,B28010,Central Algoma Public School,Public,Elementary,705-782-6233,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=40
891347,B28010,Central Algoma Secondary School,Public,Secondary,705-782-6263,http://www.adsb.on.ca/sites/schools/cas/default.aspx
093548,B28010,Central Avenue Public School,Public,Elementary,705-848-3951,http://www.adsb.on.ca/sites/schools/cen/default.aspx
900869,B28010,Chapleau High School,Public,Secondary,705-864-1452,http://www.adsb.on.ca/sites/schools/css/default.aspx
101214,B28010,Chapleau Public School,Public,Elementary,705-864-1170,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=24
161276,B28010,East View Public School,Public,Elementary,705-945-7115,http://www.adsb.on.ca/sites/schools/evs/default.aspx
165042,B28010,Echo Bay Central Public School,Public,Elementary,705-248-2271,http://www.adsb.on.ca/sites/schools/ech/default.aspx
293055,B28010,Elliot Lake Intermediate School,Public,Elementary,705-848-7162,
908010,B28010,Elliot Lake Secondary School,Public,Secondary,705-848-7162,http://www.adsb.on.ca/sites/schools/els/default.aspx
186783,B28010,Esten Park Public School,Public,Elementary,705-848-2601,http://www.adsb.on.ca/sites/schools/est/default.aspx
202614,B28010,Francis H Clergue Public School,Public,Elementary,705-945-7136,http://www.adsb.on.ca/sites/schools/fhc/default.aspx
227331,B28010,Grand View Public School,Public,Elementary,705-945-7148,http://www.adsb.on.ca/sites/schools/gvs/default.aspx
230561,B28010,Greenwood Public School,Public,Elementary,705-945-7118,http://www.adsb.on.ca/sites/schools/gps/default.aspx
237191,B28010,H M Robbins Public School,Public,Elementary,705-945-7119,http://www.adsb.on.ca/sites/schools/hmr/default.aspx
917370,B28010,Hornepayne High School,Public,Secondary,807-868-2475,http://www.adsb.on.ca/sites/schools/hhs/default.aspx
264750,B28010,Hornepayne Public School,Public,Elementary,807-868-2503,http://www.adsb.on.ca/sites/schools/hor/default.aspx
278270,B28010,Isabel Fletcher Public School,Public,Elementary,705-945-7120,http://www.adsb.on.ca/sites/schools/isf/default.aspx
302350,B28010,Kiwedin Public School,Public,Elementary,705-945-7124,http://www.adsb.on.ca/sites/schools/kps/default.aspx
920533,B28010,Korah Collegiate and Vocational School,Public,Secondary,705-945-7180,http://www.adsb.on.ca/sites/schools/kor/default.aspx
018309,B28010,Korah Intermediate School,Public,Elementary,705-945-7180,http://www.adsb.on.ca/sites/schools/kis/default.aspx
926086,B28010,Michipicoten High School,Public,Secondary,705-856-4464,http://www.adsb.on.ca/sites/schools/mic/default.aspx
195200,B28010,Mountain View Public School,Public,Elementary,705-649-2130,http://www.adsb.on.ca/sites/schools/mvs/default.aspx
891150,B28010,North Shore Adolescent Education School,Public,Secondary,705-848-1088,
