SDSB_ID,DISTRICT,TYPE,LANGUAGE,STREET,CITY,POSTAL_COD,PHONE,FAX,WEBSITE,DSB_NUMBER,X_COORD,Y_COORD,AREA,NAME,BOARD_NAME,BOARD_NUM,Shape_Leng,Shape_Area
50,West,Catholic,English,427 Rice Rd,Welland,L3C7C1,9057350240,9057350247,http://www.niagararc.com,67156.00000000000,-79.31518000000,43.04748000000,1890.58499807000,Niagara Catholic DSB,Niagara Catholic District School Board,B67156,2.79716228295,0.20795090596
38,West,Catholic,English,165 Elmwood E,London,N6A4X5,5196632088,5196639250,http://www.ldcsb.on.ca,67032.00000000000,-81.20323000000,42.95520000000,7308.72203480000,London District Catholic SB,London District Catholic School Board,B67032,4.70023841954,0.80235964956
51,West,Catholic,English,322 Fairview Dr.,Brantford,N3T5M8,5197566505,5197569913,http://www.bhncdsb.edu.on.ca,67164.00000000000,-80.21300000000,42.93004000000,4085.79359930000,Brant Haldimand Norfolk Catholic DSB,Brant Haldimand Norfolk Catholic District School Board,B67164,4.80067033809,0.44828534348
37,West,Catholic,English,1485 Janette Ave,Windsor,N8X1Z2,5192532481,5192534819,http://www.wecdsb.on.ca,67024.00000000000,-82.77926000000,42.15442000000,1882.35514119000,Windsor-Essex Catholic DSB,Windsor-Essex Catholic District School Board,B67024,3.57552934030,0.20345107383
36,West,Catholic,English,87 Mill St.,Dublin,N0K1E0,5193452440,5193452449,http//www.hpcdsb.edu.on.ca,67016.00000000000,-81.28390000000,43.59989000000,5657.37127306000,Huron Perth Catholic DSB,Huron Perth Catholic District School Board,B67016,3.96097329404,0.62899893781
30A,North,Catholic,English,101 Spruce St. N,Timmins,P4N6M9,7052687443,7052673590,http://www.nt.net/ncdsb.on.ca,29009.00000000000,-81.05218000000,48.44149000000,25348.91774970000,Northeastern Catholic DSB,Northeastern Catholic District School Board,B29009,25.93211246010,3.09925505917
44,Central,Catholic,English,46 Alliance Blvd,Barrie,L4M5K3,7057223555,7057226534,http://smcdsb.edu.on.ca,67091.00000000000,-79.60533000000,44.85509000000,10650.43745920000,Simcoe Muskoka Catholic DSB,Simcoe Muskoka Catholic District School Board,B67091,23.16997297090,1.21347309920
31,North,Catholic,English,90 Front St.,Sault Ste. Mar,P6B6G7,7059455400,7059455575,http://www.hscdsb.on.ca,29025.00000000000,-83.41781000000,46.94497000000,9799.72766318000,Huron-Superior Catholic DSB,Huron-Superior Catholic District School Board,B29025,28.09473763270,1.16314703130
33B,North,Catholic,English,200 First St. N,Kenora,P9N2K4,8074689851,8074688094,1,29050.00000000000,-94.08510000000,50.17447000000,3097.36758735000,Kenora Catholic DSB,Kenora Catholic District School Board,B29050,12.12161583160,0.39207061860
33A,North,Catholic,English,555 Flinders Ave,Fort Frances,P9A3L2,8072742931,8072748792,http://www.tncdsb.on.ca,29041.00000000000,-93.49176000000,49.16963000000,11911.59077230000,Northwest Catholic DSB,Northwest Catholic District School Board,B29041,23.57790302930,1.47705768667
48,West,Catholic,English,75 Woolwich St,Guelph,N1H6N6,5198214600,5198243088,,67130.00000000000,-80.46672000000,43.74543000000,2704.36501484000,Wellington Catholic DSB,Wellington Catholic District School Board,B67130,3.45713270123,0.30152559264
47,West,Catholic,English,90 Mulberry St,Hamilton,L8N3R9,9055252930,9055251724,http://www.hwssb.edu.on.ca,67121.00000000000,-79.96067000000,43.25235000000,1129.77388566000,Hamilton-Wentworth Catholic DSB,Hamilton-Wentworth Catholic District School Board,B67121,2.36431388037,0.12477862351
45,East,Catholic,English,650 Rossland Rd W,Oshawa,L1J7C4,9055766150,9055760953,http://www.durhamrc.edu.on.ca,67105.00000000000,-79.04125000000,44.10715000000,1968.35545581000,Durham Catholic DSB,Durham Catholic District School Board,B67105,2.96798273857,0.22101407860
49,West,Catholic,English,91 Moore Ave,Kitchener,N2G4G2,5195783660,5195785291,http://www.wcdsb.edu.on.ca,67148.00000000000,-80.53858000000,43.46267000000,1388.27543963000,Waterloo Catholic DSB,Waterloo Catholic District School Board,B67148,1.94994889468,0.15393631283
55,East,Catholic,English,151 Dairy Ave,Napanee,K7R4B2,6133542255,6133543261,http://www.alcdsb.on.ca,67202.00000000000,-77.30719000000,44.71461000000,16126.97046470000,Algonquin and Lakeshore Catholic DSB,Algonquin and Lakeshore Catholic District School Board,B67202,18.61662479060,1.83246626821
54,East,Catholic,English,499 Pembroke,Pembroke,K8A5P1,6137351031,6137352649,http://rccdsb.edu.on.ca,67199.00000000000,-77.27134000000,45.60818000000,7853.19690946000,Renfrew County Catholic DSB,Renfrew County Catholic District School Board,B67199,8.95099669641,0.90815796454
35,West,Catholic,English,799 16th Ave,Hanover,N4N3A1,5193645820,5193645882,http://www.bgcdsb.org,67008.00000000000,-81.01200000000,44.40893000000,8703.45514046000,Bruce-Grey Catholic DSB,Bruce-Grey Catholic District School Board,B67008,10.74854849950,0.98309429215
