NAME,SDSB_ID,DISTRICT,TYPE,LANGUAGE,STREET,CITY,POSTAL_COD,PHONE,FAX,WEBSITE,DSB_NUMBER,AREA_,X_COORD,Y_COORD,BOARD_NAME,REGION,BOARD_NUM,Shape_Leng,Shape_Area
Ottawa-Carleton DSB,25,East,Public,English,133 Greenbank Rd,Nepean,K2H6L3,6137211820,6138206968,http://www.ocdsb.edu.on.ca,66184.00000000000,0.00000000000,-75.80079000000,45.24516000000,Ottawa-Carleton District School Board,EAST,B66184,3.56771190102,0.32270875990
Trillium Lakelands DSB,15,Central,Public,English,300 County Rd 36,Lindsay,K9V4S4,7053246776,7053282036,http://www.tldsb.on.ca,66087.00000000000,0.00000000000,-78.88662000000,44.96812000000,Trillium Lakelands District School Board,CENTRAL,B66087,9.96580730175,1.38858528773
Avon Maitland DSB,8,West,Public,English,62 Chalk St N,Seaforth,N0K1W0,5195270111,5195270222,http://www.avonmaitland.edu.on.ca,66010.00000000000,0.00000000000,-81.25665000000,43.62878000000,Avon Maitland District School Board,SOUTH WEST,B66010,3.95902950706,0.62899084380
York Region DSB,16,Central,Public,English,60 Wellington St W,Aurora,L4G3H2,4169697170,9057271931,http://www.yrbe.edu.on.ca,66095.00000000000,0.00000000000,-79.46586000000,44.07215000000,York Region District School Board,GTA,B66095,2.79384014125,0.19942102192
DSB of Niagara,22,West,Public,English,191 Carlton St.,St. Catherines,L2R7P4,9056411550,9056858511,http://www.vaxxine.com/dsbn,66150.00000000000,0.00000000000,-79.33109000000,43.04901000000,District School Board of Niagara,CENTRAL,B66150,2.78096944223,0.20795097099
Superior-Greenstone DSB,6B,North,Public,English,12 Hemlo Dr,Marathon,P0T2E0,8072290436,8072291471,http://www.s-gdsb.on.ca,28070.00000000000,18643.81400000000,-87.05575000000,48.87820000000,Superior-Greenstone District School Board,NORTH WEST,B28070,20.86940462580,2.28941062739
Waterloo Region DSB,24,West,Public,English,51 Ardelt Ave,Kitchener,N2G2E1,5195700300,5197421364,http://www.wrdsb.on.ca,66176.00000000000,0.00000000000,-80.52906000000,43.47819000000,Waterloo Region District School Board,CENTRAL,B66176,1.94857504460,0.15395012169
Lambton Kent DSB,10,West,Public,English,200 Wellington St,Sarnia,N7T7L2,5193361500,5193360992,http://www.lkdsb.net,66036.00000000000,0.00000000000,-82.17308000000,42.69228000000,Lambton Kent District School Board,SOUTH WEST,B66036,7.67104854766,0.60396352501
Greater Essex County DSB,9,West,Public,English,451 Park St W,Windsor,N9A6K1,5192553200,5192447053,http://www.gecdsb.on.ca,66028.00000000000,0.00000000000,-82.77826000000,42.01216000000,Greater Essex County District School Board,SOUTH WEST,B66028,3.54178436906,0.20341616659
Kawartha Pine Ridge DSB,14,East,Public,English,1994 Fisher Dr.,Peterborough,K9J7A1,7057429773,7057427801,http://www.kpr.edu.on.ca,66079.00000000000,0.00000000000,-78.22689000000,44.39011000000,Kawartha Pine Ridge District School Board,CENTRAL,B66079,5.06603774363,0.79142284262
